Movie_id,Title,Year,Genre,Director,Producer,Writer,Actress,Actor,MPAA,Rating
2385143,13 game sayawng,2006,Horror,"Wongkrachang, Sarunyu","Ratipakorn, Warinya","Wongkrachang, Sarunyu","Bangsapan, Sananjit","Arunnate, Nattapong",R ,6.8
2385151,13 Going on 30,2004,Comedy,"Jobrani, Maz","Gaffigan, Jim","Ball, Sam","Abisinio, Nicole","Anderson, Timothy",PG-13 ,6.1
2385161,13 Hours in a Warehouse,2008,Horror,"Bonin, Chars","Bonin, Chars","Bonin, Chars","Batchelder, Kati","Bervig, Bennett",R ,4
2385164,13 Hrs,2010,Horror,"Felton, Tom","Lynch, John","Gadiot, Peter","Atkinson, Gemma","Bowman, Josh",R ,4.4
2385190,13 Moons,2002,Comedy,"Buscemi, Michael","Badalucco, Michael","Bunker, Edward","Beals, Jennifer","Badalucco, Michael",R ,5.8
2385217,13 Sins,2014,Horror,"Ashworth, Chris","Ashworth, Chris","Ashworth, Chris","Alger, Brittney","Anderson, Robert 'Ross'",R ,6.3
2385321,13th Child,2002,Horror,"Atkins, Christopher","Atkins, Christopher","Atkins, Christopher","Down, Lesley-Anne","Atkins, Christopher",R ,3
2385430,1408,2007,Horror,"Birchard, Paul","Birchard, Paul","Birchard, Paul","Alexander, Lily Grace","Armstrong, William",PG-13 ,6.8
2385477,1492: Conquest of Paradise,1992,Drama,"Botto, Juan Diego","Assante, Armand","Botto, Juan Diego","Molina, �ngela","Assante, Armand",PG-13 ,6.5
2385557,15 Minutes,2001,Thriller,"Brooks, Avery","Adway, Dwayne","Arnett, Peter","Abrusci, Christine","Adway, Dwayne",R ,6.1
2385701,16 Blocks,2006,Thriller,"Collier, Richard","Bey, Yasiin","Bey, Yasiin","Chong, Betty","Alachiotis, Nick",PG-13 ,6.6
2385733,16 Stones,2014,Adventure,"Bresnahan, Dave","Bresnahan, Dave","Bresnahan, Dave","Crockett, Marilee","Bascom, John A.",PG ,5.4
2385739,16 Years of Alcohol,2003,Drama,"McKidd, Kevin","Bremner, Ewen","Macleod, Lewis","Cooper, Lisa May","Anderson, Russell",R ,6.3
2385745,16-Love,2012,Comedy,"Coulouris, Keith","Alvarado, David Antonio","Cooke, Josh","Abrams, Sophie Rose","Aceron, Lindon",PG ,5.8
2385813,17 Again,2009,Drama,"Brixton, Jaymes","Ackerman, Ed","Ackerman, Ed","Blackburn, Liana","Ackerman, Ed",PG-13 ,6.4
2385841,17 Miracles,2011,Adventure,"Buster, Michael","Buster, Michael","Buster, Michael","Allen, Chandra","Bagley, Anson",PG ,6.2
2385888,1732 H�tten,1998,Thriller,"Fausa, Trond","Haldorsen, Halvard","Hennie, Aksel","Bruland, Beate","Br�nne, Trond",R ,6
2385898,1776,1972,Drama,"Cullum, John","Coster, Nicolas","Cullum, John","Danner, Blythe","Albin, Andy",PG ,7.6
2386102,18 Shades of Dust,2001,Drama,"Castelluccio, Federico","Aiello, Danny","Aiello, Danny","DiCicco, Jessica","Aiello, Danny",R ,4.6
2386327,19 Months,2002,Comedy,"Jones, Jason","Jones, Jason","Bobesich, Marqus","D'Orsay, Brooke","Bobesich, Marqus",R ,3.6
2386906,1982,2013,Drama,"Bianchi, David","Aaron, Quinton","Aaron, Quinton","Anthony, La La","Aaron, Quinton",R ,8
2387345,1999,1998,Drama,"Davis, Nick","Davis, Nick","Davis, Nick","Bailey, Gwendolyn","Citer, Leonid",R ,4.9
2387602,2 Bedroom 1 Bath,2014,Horror,"Bravo, Al","Bravo, Al","Bravo, Al","Bush, Shoshana","Boffin, Lucas",R ,4.4
2387684,2 Days in New York,2012,Drama,"Baker, Dylan","Baker, Dylan","Barrish, Seth","Burton, Kate","Baker, Dylan",R ,6
2387686,2 Days in the Valley,1996,Drama,"Cruttwell, Greg","Aiello, Danny","Aiello, Danny","Benson, Deborah","Aiello, Danny",R ,6.5
2387712,2 Fast 2 Furious,2003,Thriller,"Etebari, Eric","Barry, Thom","Boone Junior, Mark","Agosto, Limary","Auyeung, Jin",PG-13 ,5.8
2387761,2 Guns,2013,Thriller,"Cintron, Joseph","Adam, Mark","Alvarez, Adam","Bentley, Bonnie","Adam, Mark",R ,6.8
2388156,20 Dates,1998,Comedy,"Ardavany, Tom","Ardavany, Tom","Ardavany, Tom","Arlook, Emily","Ardavany, Tom",R ,5.3
2388259,20 Years After,2008,Drama,"Borden, Chuck","Cathey, Reg E.","Leonard, Joshua","Booker, Shelby","Baesel, Nathan",R ,3.3
2388345,200 Cigarettes,1999,Drama,"Affleck, Ben","Affleck, Ben","Affleck, Ben","Albano, Jennifer","Affleck, Ben",R ,5.8
2388439,2001 Maniacs,2005,Horror,"Andrews, Giuseppe","Andrews, Giuseppe","Andrews, Giuseppe","Bross, Lisette","Andrews, Giuseppe",R ,5.4
2388441,2001 Maniacs: Field of Screams,2010,Horror,"Best, Ahmed","Best, Ahmed","Best, Ahmed","Campbell, Christa","Best, Ahmed",R ,3.2
2388462,2001 Yonggary,1999,Horror,"Sergi, Brad","Cashman, Dan","Costa, Derrick","Kessler, Julie","Brandt, Les",PG-13 ,2.6
2388468,2001: A Space Travesty,2000,Comedy,"Campeau, Luc","Campeau, Luc","Dennis, Charles","Andr�, Caroline","Alon, Noam",R ,3.3
2388912,2009 loseuteu maemorijeu,2002,Thriller,"Imamura, Sh�hei","Imamura, Sh�hei","Imamura, Sh�hei","Christian, Luci","Ahn, Kil-kang",R ,6.2
2389113,2012,2009,Sci-Fi,"Chang, Tseng","Arpesella, Peter","Arreguin, Chris","Adair, Carolyn","Afify, Farouk A.",PG-13 ,5.8
2389382,2016: Obama's America,2012,Documentary,"D'Souza, Dinesh","D'Souza, Dinesh","D'Souza, Dinesh","Brasel, Cait","Bastian, Jay",PG ,5.1
2389431,2046,2004,Drama,"Doyle, Christopher","Lee, Alice","Lee, Alice","Cheung, Maggie","Chang, Chen",R ,7.5
2389536,21 & Over,2013,Comedy,"Benson, Artur","Benson, Artur","Benson, Artur","Arends, Grace","Anderson, Eric Ray",R ,5.9
2389542,21,2008,Drama,"Arabian, Razmig","Arabian, Razmig","Arabian, Razmig","Appel, Dale F.","Aliano, Joey",PG-13 ,6.8
2389547,21 and a Wake-Up,2009,Drama,"Amani, Andrew","Amani, Andrew","Amani, Andrew","Acker, Amy","Adams, Jeremiah",R ,5.3
2389574,21 Grams,2003,Thriller,"Bridgewater, Stephen","Bridgewater, Stephen","Bridgewater, Stephen","Armstrong-Miles, Dorothy","Alban, Carlo",R ,7.7
2389585,21 Jump Street,2012,Comedy,"Da Silva Jr., Luis","Chrest, Joe","Da Silva Jr., Luis","Aaron, Caroline","Adams, Mark",R ,7.2
2389705,22 Jump Street,2014,Comedy,"Cardozo, Gustavo","Benjamin, H. Jon","Alvarez, Adam","Aaron, Caroline","Alvarez, Adam",R ,7.1
2389773,23 Blast,2014,Drama,"Baker, Dylan","Adler, Max","Hoover, Bram","Baker, Becky Ann","Adler, Max",PG-13 ,6.1
2389825,23:59,2011,Horror,"Lee, Mark","Hersh, Philip","Ng, Darren","Chung, Stella","Chan, Tedd",R ,5
2389845,24 7: Twenty Four Seven,1997,Drama,"Campbell, Darren O.","Campbell, Darren O.","Campbell, Darren O.","Aris, Gina","Baxter, John",R ,7.1
2389859,24 cuadros de terror,2008,Horror,"Gonz�lez, Christian","Amaya, Rafael","Gonz�lez, Christian","Bustos, Raquel","Amaya, Rafael",R ,4.8
2389911,24 Hour Party People,2002,Drama,"Allen, Keith","Allen, Keith","Allen, Keith","Allen, Fiona","Allen, Keith",R ,7.4
2389942,24 Hours in London,2000,Thriller,"Malone, Martin","Dyer, Clint","Fedoro, Olegar","Ainslie, Jean","Beckman, Jeremy",R ,3.6
2390091,247ﾰF,2011,Horror,"Gogrichiani, Tornike","Copon, Michael","Copon, Michael","Taylor-Compton, Scout","Andrew, Michael",R ,5
2390296,25th Hour,2002,Drama,"Castillo, Gabe","Alan, Mark","Castillo, Gabe","Cornelisse, Tonya","Alan, Mark",R ,7.7
2390365,27 Dresses,2008,Comedy,"Borgman, Eric Bruno","Borgman, Eric Bruno","Borgman, Eric Bruno","Akerman, Malin","Albanese, Nick",PG-13 ,6.1
2390413,28 Days,2000,Drama,"Buscemi, Steve","Buscemi, Steve","Buscemi, Steve","Bullock, Sandra","Anagnos, Bill",PG-13 ,6
2390414,28 Days Later...,2002,Horror,"Gleeson, Brendan","Harnett, Ricci","Gleeson, Brendan","Burns, Megan","Bill, Leo",R ,7.6
2390444,28 Weeks Later,2007,Horror,"Alexander, Stewart","Alexander, Stewart","Alexander, Stewart","Beecham, Emily","Adams, Stuart",R ,7
2390493,29 Palms,2002,Thriller,"Byrne, P.J.","David, Keith","Byrne, P.J.","Cook, Rachael Leigh","Byrne, P.J.",R ,4.9
2390517,29th Street,1991,Drama,"Antico, Pete","Aiello, Danny","Aiello, Danny","Alexander-Willis, Hope","Acciarto, Frank",R ,7.2
2390533,2:22,2008,Thriller,"Burns, Gene","Barbosa, Manny","Boyer, Steve","Ames, Kelly","Abramovitz, Seymour",R ,5.3
2390559,2BPerfectlyHonest,2004,Drama,"Auberjonois, Remy","Badalucco, Michael","Auberjonois, Remy","Cavallaro, Rebecca","Auberjonois, Remy",R ,4.7
2390709,3 Backyards,2010,Drama,"Rishe, Jeremy","Koteas, Elias","Rishe, Jeremy","Arvia, Ann","Broulik, Wesley",R ,5.1
2390756,3 Blind Mice,2003,Thriller,"Ejiofor, Chiwetel","Furlong, Edward","Bourseiller, Christophe","Decobert-Koretzky, Val�rie","Bazely, Paul",R ,4.3
2390783,3 coeurs,2014,Drama,"Cheng, Xiaoxing","Cheng, Xiaoxing","Cheng, Xiaoxing","Consigny, Anne","Balvay, Bruno",PG-13 ,5.8
2390830,3 Days to Kill,2014,Thriller,"Andr�oni, Marc","Andr�oni, Marc","Andr�oni, Marc","Anh Le, Ma�","Andr�oni, Marc",PG-13 ,6.2
